x,y,existing_z_m,design_z_m,cut_fill_m,field_zone
1035.865,954.526,111.857,103.56307870008285,8.293921299917145,Heavy Cut > 2.0 m
1036.865,954.526,108.608,103.57203744296251,5.035962557037493,Heavy Cut > 2.0 m
1037.865,954.526,108.608,103.58452207903426,5.023477920965746,Heavy Cut > 2.0 m
1038.865,954.526,108.608,103.59521035302521,5.012789646974795,Heavy Cut > 2.0 m
1039.865,954.526,108.608,103.60135105168658,5.006648948313426,Heavy Cut > 2.0 m
1040.865,954.526,108.608,103.60318709711584,5.004812902884169,Heavy Cut > 2.0 m
1041.865,954.526,108.608,103.60323618955101,5.004763810448992,Heavy Cut > 2.0 m
1002.865,955.526,121.149,105.53788399869484,15.611116001305163,Heavy Cut > 2.0 m
1003.865,955.526,119.75682706513454,105.8818701199105,13.874956945224042,Heavy Cut > 2.0 m
1004.865,955.526,120.9223813661271,106.15523972182339,14.767141644303706,Heavy Cut > 2.0 m
1005.865,955.526,120.81932855375672,106.35080424133874,14.468524312417983,Heavy Cut > 2.0 m
1006.865,955.526,120.3349636885833,106.4532455504706,13.881718138112703,Heavy Cut > 2.0 m
1007.865,955.526,119.86911788635456,106.49811045969787,13.37100742665669,Heavy Cut > 2.0 m
1008.865,955.526,119.40950724730268,106.52687319206686,12.882634055235826,Heavy Cut > 2.0 m
1009.865,955.526,118.95509692058732,106.55388326317613,12.40121365741119,Heavy Cut > 2.0 m
1010.865,955.526,118.50068659387196,106.57497341789912,11.925713175972845,Heavy Cut > 2.0 m
1011.865,955.526,118.0462762671566,106.58398751188415,11.462288755272453,Heavy Cut > 2.0 m
1012.865,955.526,117.59693915026186,106.57607289333748,11.020866256924378,Heavy Cut > 2.0 m
1013.865,955.526,117.22251625416284,106.54675543480352,10.675760819359326,Heavy Cut > 2.0 m
1014.865,955.526,116.87788059982954,106.50264251054604,10.3752380892835,Heavy Cut > 2.0 m
1015.865,955.526,116.51299872837713,106.45740698219036,10.055591746186764,Heavy Cut > 2.0 m
1016.865,955.526,116.14811685692469,106.41098040465309,9.7371364522716,Heavy Cut > 2.0 m
1017.865,955.526,115.87527605313487,106.35201207380888,9.52326397932599,Heavy Cut > 2.0 m
1018.865,955.526,115.69899340779878,106.27035878251232,9.428634625286463,Heavy Cut > 2.0 m
1019.865,955.526,115.43179985102537,106.17355362009557,9.2582462309298,Heavy Cut > 2.0 m
1020.865,955.526,115.18298070844207,106.09224966975853,9.090731038683543,Heavy Cut > 2.0 m
1021.865,955.526,114.91121436062669,106.04642400871991,8.864790351906777,Heavy Cut > 2.0 m
1022.865,955.526,114.66914004577424,106.0071326346096,8.662007411164637,Heavy Cut > 2.0 m
1023.865,955.526,114.46305168862791,105.84982535109415,8.61322633753376,Heavy Cut > 2.0 m
1024.865,955.526,114.25696333148161,105.38805275762023,8.868910573861385,Heavy Cut > 2.0 m
1025.865,955.526,112.513,104.66131168122575,7.851688318774251,Heavy Cut > 2.0 m
1026.865,955.526,112.513,104.03071786391045,8.482282136089552,Heavy Cut > 2.0 m
1027.865,955.526,111.857,103.7243168354942,8.132683164505806,Heavy Cut > 2.0 m
1028.865,955.526,111.857,103.64475473612632,8.212245263873683,Heavy Cut > 2.0 m
1029.865,955.526,111.857,103.63749627374895,8.219503726251048,Heavy Cut > 2.0 m
1030.865,955.526,111.857,103.63799365304452,8.219006346955481,Heavy Cut > 2.0 m
1031.865,955.526,111.857,103.63206921971627,8.224930780283728,Heavy Cut > 2.0 m
1032.865,955.526,111.857,103.6162742904638,8.240725709536193,Heavy Cut > 2.0 m
